,Rank,Year,# of Crashes
0,1,1944,944
1,2,1943,815
2,3,1945,737
3,4,1942,698
4,5,1951,491
5,6,1940,459
6,7,1950,426
7,8,1946,423
8,9,1978,408
9,10,1952,404
10,11,1948,391
11,12,1979,382
12,13,1980,379
13,14,1972,375
14,15,1977,373
15,16,1973,372
16,17,1947,371
17,18,1969,364
18,19,1967,353
19,20,1949,351
20,21,1987,341
21,22,1968,339
22,23,1953,337
23,24,1989,337
24,25,1941,335
25,26,1975,332
26,27,1970,330
27,28,1981,320
28,29,1974,317
29,30,1970,313
30,31,1982,309
31,32,1976,308
32,33,1988,306
33,34,1993,299
34,35,1985,296
35,36,1995,295
36,37,1965,293
37,38,1954,289
38,39,1983,289
39,40,1992,289
40,41,1984,284
41,42,1990,282
42,43,1966,281
43,44,1955,280
44,45,1986,276
45,46,1964,273
46,47,1996,273
47,48,1958,272
48,49,1991,269
49,50,1957,263
50,51,1961,262
51,52,1962,262
52,53,1997,252
53,54,1998,250
54,55,1994,249
55,56,1956,243
56,57,1959,242
57,58,1939,240
58,59,1929,239
59,60,1960,234
60,61,1999,234
61,62,2000,232
62,63,2002,230
63,64,2001,229
64,65,2003,223
65,66,1936,215
66,67,1963,211
67,68,1938,203
68,69,2005,194
69,70,2006,193
70,71,1928,191
71,72,2008,190
72,73,1930,184
73,74,1935,182
74,75,2004,179
75,76,2007,169
76,77,1937,165
77,78,1931,164
78,79,2009,162
79,80,2010,162
80,81,2012,156
81,82,2011,154
82,83,1933,151
83,84,1932,142
84,85,2013,141
85,86,1934,136
86,87,2015,128
87,88,2019,126
88,89,2014,125
89,90,2018,115
90,91,1927,109
91,92,2016,106
92,93,2017,102
93,94,1921,98
94,95,1920,97
95,96,2020,91
96,97,1926,84
97,98,1922,80
98,99,1919,62
99,100,1925,56
